year,avg_temp,4 Year MA
1870,24.89,
1871,24.88,
1872,24.94,
1873,25.06,24.9425
1874,24.25,24.7825
1875,25.38,24.9075
1876,24.93,24.905
1877,25.08,24.91
1878,25.18,25.1425
1879,24.86,25.0125
1880,25.45,25.1425
1881,25.09,25.145
1882,24.89,25.0725
1883,24.82,25.0625
1884,24.67,24.8675
1885,24.38,24.69
1886,24.89,24.69
1887,24.9,24.71
1888,24.88,24.7625
1889,25.21,24.97
1890,25.06,25.0125
1891,24.68,24.9575
1892,25.49,25.11
1893,23.84,24.7675
1894,24.74,24.6875
1895,25.15,24.805
1896,25.83,24.89
1897,25.39,25.2775
1898,25.55,25.48
1899,25.86,25.6575
1900,25.56,25.59
1901,25.49,25.615
1902,25.66,25.6425
1903,25.14,25.4625
1904,25.07,25.34
1905,24.75,25.155
1906,25.17,25.0325
1907,25.02,25.0025
1908,25.14,25.02
1909,24.75,25.02
1910,24.81,24.93
1911,25.36,25.015
1912,25.25,25.0425
1913,24.94,25.09
1914,25.12,25.1675
1915,25.73,25.26
1916,25.07,25.215
1917,23.84,24.94
1918,25.28,24.98
1919,24.84,24.7575
1920,24.99,24.7375
1921,26.04,25.2875
1922,25.18,25.2625
1923,25.26,25.3675
1924,24.98,25.365
1925,24.85,25.0675
1926,24.78,24.9675
1927,24.73,24.835
1928,25.65,25.0025
1929,25.39,25.1375
1930,25.1,25.2175
1931,25.58,25.43
1932,25.63,25.425
1933,24.52,25.2075
1934,24.96,25.1725
1935,24.81,24.98
1936,24.76,24.7625
1937,24.81,24.835
1938,25.36,24.935
1939,25.24,25.0425
1940,25.07,25.12
1941,26.3,25.4925
1942,25.4,25.5025
1943,25.25,25.505
1944,24.98,25.4825
1945,24.78,25.1025
1946,25.47,25.12
1947,25.72,25.2375
1948,25.45,25.355
1949,25.6,25.56
1950,24.66,25.3575
1951,25.58,25.3225
1952,25.84,25.42
1953,26.14,25.555
1954,25.68,25.81
1955,25.15,25.7025
1956,25.3,25.5675
1957,24.91,25.26
1958,25.93,25.3225
1959,25.56,25.425
1960,25.53,25.4825
1961,24.8,25.455
1962,25.18,25.2675
1963,25.46,25.2425
1964,25.05,25.1225
1965,25.26,25.2375
1966,25.52,25.3225
1967,24.98,25.2025
1968,25.02,25.195
1969,25.8,25.33
1970,25.39,25.2975
1971,24.81,25.255
1972,25.42,25.355
1973,25.56,25.295
1974,25.52,25.3275
1975,25.02,25.38
1976,25.33,25.3575
1977,25.41,25.32
1978,25.21,25.2425
1979,25.81,25.44
1980,26.02,25.6125
1981,25.79,25.7075
1982,25.18,25.7
1983,24.75,25.435
1984,25.56,25.32
1985,25.86,25.3375
1986,25.31,25.37
1987,26.54,25.8175
1988,26.11,25.955
1989,25.43,25.8475
1990,25.54,25.905
1991,25.74,25.705
1992,25.52,25.5575
1993,25.92,25.68
1994,25.87,25.7625
1995,25.92,25.8075
1996,25.55,25.815
1997,24.71,25.5125
1998,25.77,25.4875
1999,26.36,25.5975
2000,26.05,25.7225
2001,25.86,26.01
2002,26.63,26.225
2003,25.72,26.065
2004,26.24,26.1125
2005,25.72,26.0775
2006,26.37,26.0125
2007,26.15,26.12
2008,25.68,25.98
2009,26.55,26.1875
2010,26.52,26.225
2011,25.63,26.095
2012,25.89,26.1475
2013,26.71,26.1875
