year,avg_temp,4 Year Ma
1750,8.72,
1751,7.98,
1752,5.78,
1753,8.39,7.7175
1754,8.47,7.655
1755,8.36,7.75
1756,8.85,8.5175
1757,9.02,8.675
1758,6.74,8.2425
1759,7.99,8.15
1760,7.19,7.735
1761,8.77,7.6725
1762,8.61,8.14
1763,7.5,8.0175
1764,8.4,8.32
1765,8.25,8.19
1766,8.41,8.14
1767,8.22,8.32
1768,6.78,7.915
1769,7.69,7.775
1770,7.69,7.595
1771,7.85,7.5025
1772,8.19,7.855
1773,8.22,7.9875
1774,8.77,8.2575
1775,9.18,8.59
1776,8.3,8.6175
1777,8.26,8.6275
1778,8.54,8.57
1779,8.98,8.52
1780,9.43,8.8025
1781,8.1,8.7625
1782,7.9,8.6025
1783,7.68,8.2775
1784,7.86,7.885
1785,7.36,7.7
1786,8.26,7.79
1787,8.03,7.8775
1788,8.45,8.025
1789,8.33,8.2675
1790,7.98,8.1975
1791,8.23,8.2475
1792,8.09,8.1575
1793,8.23,8.1325
1794,8.53,8.27
1795,8.35,8.3
1796,8.27,8.345
1797,8.51,8.415
1798,8.67,8.45
1799,8.51,8.49
1800,8.48,8.5425
1801,8.59,8.5625
1802,8.58,8.54
1803,8.5,8.5375
1804,8.84,8.6275
1805,8.56,8.62
1806,8.43,8.5825
1807,8.28,8.5275
1808,7.63,8.225
1809,7.08,7.855
1810,6.92,7.4775
1811,6.86,7.1225
1812,7.05,6.9775
1813,7.74,7.1425
1814,7.59,7.31
1815,7.24,7.405
1816,6.94,7.3775
1817,6.98,7.1875
1818,7.83,7.2475
1819,7.37,7.28
1820,7.62,7.45
1821,8.09,7.7275
1822,8.19,7.8175
1823,7.72,7.905
1824,8.55,8.1375
1825,8.39,8.2125
1826,8.36,8.255
1827,8.81,8.5275
1828,8.17,8.4325
1829,7.94,8.32
1830,8.52,8.36
1831,7.64,8.0675
1832,7.45,7.8875
1833,8.01,7.905
1834,8.15,7.8125
1835,7.39,7.75
1836,7.7,7.8125
1837,7.38,7.655
1838,7.51,7.495
1839,7.63,7.555
1840,7.8,7.58
1841,7.69,7.6575
1842,8.02,7.785
1843,8.17,7.92
1844,7.65,7.8825
1845,7.85,7.9225
1846,8.55,8.055
1847,8.09,8.035
1848,7.98,8.1175
1849,7.98,8.15
1850,7.9,7.9875
1851,8.18,8.01
1852,8.1,8.04
1853,8.04,8.055
1854,8.21,8.1325
1855,8.11,8.115
1856,8,8.09
1857,7.76,8.02
1858,8.1,7.9925
1859,8.25,8.0275
1860,7.96,8.0175
1861,7.85,8.04
1862,7.56,7.905
1863,8.11,7.87
1864,7.98,7.875
1865,8.18,7.9575
1866,8.29,8.14
1867,8.44,8.2225
1868,8.25,8.29
1869,8.43,8.3525
1870,8.2,8.33
1871,8.12,8.25
1872,8.19,8.235
1873,8.35,8.215
1874,8.43,8.2725
1875,7.86,8.2075
1876,8.08,8.18
1877,8.54,8.2275
1878,8.83,8.3275
1879,8.17,8.405
1880,8.12,8.415
1881,8.27,8.3475
1882,8.13,8.1725
1883,7.98,8.125
1884,7.77,8.0375
1885,7.92,7.95
1886,7.95,7.905
1887,7.91,7.8875
1888,8.09,7.9675
1889,8.32,8.0675
1890,7.97,8.0725
1891,8.02,8.1
1892,8.07,8.095
1893,8.06,8.03
1894,8.16,8.0775
1895,8.15,8.11
1896,8.21,8.145
1897,8.29,8.2025
1898,8.18,8.2075
1899,8.4,8.27
1900,8.5,8.3425
1901,8.54,8.405
1902,8.3,8.435
1903,8.22,8.39
1904,8.09,8.2875
1905,8.23,8.21
1906,8.38,8.23
1907,7.95,8.1625
1908,8.19,8.1875
1909,8.18,8.175
1910,8.22,8.135
1911,8.18,8.1925
1912,8.17,8.1875
1913,8.3,8.2175
1914,8.59,8.31
1915,8.59,8.4125
1916,8.23,8.4275
1917,8.02,8.3575
1918,8.13,8.2425
1919,8.38,8.19
1920,8.36,8.2225
1921,8.57,8.36
1922,8.41,8.43
1923,8.42,8.44
1924,8.51,8.4775
1925,8.53,8.4675
1926,8.73,8.5475
1927,8.52,8.5725
1928,8.63,8.6025
1929,8.24,8.53
1930,8.63,8.505
1931,8.72,8.555
1932,8.71,8.575
1933,8.34,8.6
1934,8.63,8.6
1935,8.52,8.55
1936,8.55,8.51
1937,8.7,8.6
1938,8.86,8.6575
1939,8.76,8.7175
1940,8.76,8.77
1941,8.77,8.7875
1942,8.73,8.755
1943,8.76,8.755
1944,8.85,8.7775
1945,8.58,8.73
1946,8.68,8.7175
1947,8.8,8.7275
1948,8.75,8.7025
1949,8.59,8.705
1950,8.37,8.6275
1951,8.63,8.585
1952,8.64,8.5575
1953,8.87,8.6275
1954,8.56,8.675
1955,8.63,8.675
1956,8.28,8.585
1957,8.73,8.55
1958,8.77,8.6025
1959,8.73,8.6275
1960,8.58,8.7025
1961,8.8,8.72
1962,8.75,8.715
1963,8.86,8.7475
1964,8.41,8.705
1965,8.53,8.6375
1966,8.6,8.6
1967,8.7,8.56
1968,8.52,8.5875
1969,8.6,8.605
1970,8.7,8.63
1971,8.6,8.605
1972,8.5,8.6
1973,8.95,8.6875
1974,8.47,8.63
1975,8.74,8.665
1976,8.35,8.6275
1977,8.85,8.6025
1978,8.69,8.6575
1979,8.73,8.655
1980,8.98,8.8125
1981,9.17,8.8925
1982,8.64,8.88
1983,9.03,8.955
1984,8.69,8.8825
1985,8.66,8.755
1986,8.83,8.8025
1987,8.99,8.7925
1988,9.2,8.92
1989,8.92,8.985
1990,9.23,9.085
1991,9.18,9.1325
1992,8.84,9.0425
1993,8.87,9.03
1994,9.04,8.9825
1995,9.35,9.025
1996,9.04,9.075
1997,9.2,9.1575
1998,9.52,9.2775
1999,9.29,9.2625
2000,9.2,9.3025
2001,9.41,9.355
2002,9.57,9.3675
2003,9.53,9.4275
2004,9.32,9.4575
2005,9.7,9.53
2006,9.53,9.52
2007,9.73,9.57
2008,9.43,9.5975
2009,9.51,9.55
2010,9.7,9.5925
2011,9.52,9.54
2012,9.51,9.56
2013,9.61,9.585
2014,9.57,9.5525
2015,9.83,9.63
